ID;name;host_id;host_identity_verified;host_name;neighborhood_group;neighborhood;lat;long;country;instant_bookable;cancellation_policy;room_type;construction_year;price;service_fee;minimum_nights;number_of_reviews;last_review;reviews_per_month;review_rate;host_listings_count;days_available;house_rules
1001254;"Clean & quiet apt home by the park";80014485718;Unconfirmed;Madaline;Brooklyn;Kensington;40.64749;-73.97237;"United States";False;Strict;"Private room";2020;"966 ";"193 ";10;9;2021-10-19;0.2195;4;6;286;"Clean up and treat the home the way you'd like your home to be treated.  No smoking."
1002102;"Skylit midtown castle";52335172823;Verified;Jenna;Manhattan;Midtown;40.75362;-73.98377;"United States";False;Moderate;"Entire home/apt";2007;"142 ";"28 ";30;45;2022-05-21;1.3235;4;2;228;"Pet friendly but please confirm with me if the pet you are planning on bringing with you is OK. I have a cute and quiet mixed chihuahua. I could accept more guests (for an extra fee) but this also needs to be confirmed beforehand. Also friends traveling together could sleep in separate beds for an extra fee (the second bed is either a sofa bed or inflatable bed). Smoking is only allowed on the porch."
1002403;"The village of harlem....new york !";78829239556;NULL;Elise;Manhattan;Harlem;40.80902;-73.94190;"United States";True;Flexible;"Private room";2005;"620 ";"124 ";3;0;NULL;NULL;5;1;352;"I encourage you to use my kitchen, cooking and laundry facilities. There is no additional charge to use the washer/dryer in the basement.  No smoking, inside or outside. Come home as late as you want.  If you come home stumbling drunk, it's OK the first time. If you do it again, and you wake up me or the neighbors downstairs, we will be annoyed.  (Just so you know . . . )"
1002755;NULL;85098326012;Unconfirmed;Garry;Brooklyn;"Clinton Hill";40.68514;-73.95976;"United States";True;Moderate;"Entire home/apt";2005;"368 ";"74 ";30;270;2019-07-05;3.9130;4;1;322;NULL
1003689;"Entire apt: spacious studio/loft by central park";92037596077;Verified;Lyndon;Manhattan;"East Harlem";40.79851;-73.94399;"United States";False;Moderate;"Entire home/apt";2009;"204 ";"41 ";10;9;2018-11-19;0.1184;3;1;289;"Please no smoking in the house, porch or on the property (you can go to the nearby corner).  Reasonable quiet after 10:30 pm.  Please remove shoes in the house."
1004098;"Large cozy 1 br apartment in midtown east";45498551794;Verified;Michelle;Manhattan;"Murray Hill";40.74767;-73.97500;"United States";True;Flexible;"Entire home/apt";2013;"577 ";"115 ";3;74;2019-06-22;1.0725;3;1;374;"No smoking, please, and no drugs."
1004650;Blissartsspace!;61300605564;NULL;Alberta;Brooklyn;Bedford-Stuyvesant;40.68688;-73.95596;"United States";False;Moderate;"Private room";2015;"71 ";"14 ";45;49;2017-10-05;0.5444;5;1;224;"Please no shoes in the house so bring slippers or extra socks to keep your feet warm- especially in winter! No smoking either inside or outside. Please be considerate of neighbors from 10pm-7am in terms of noise. Please take out any trash and leave in the large blue garbage bin at the end of the driveway when you leave."
1005202;Blissartsspace!;90821839709;Unconfirmed;Emma;Brooklyn;Bedford-Stuyvesant;40.68688;-73.95596;"United States";False;Moderate;"Private room";2009;"1,060 ";"212 ";45;49;2017-10-05;0.5444;5;1;219;"House Guidelines for our BnB We are delighted to welcome you.  Check in Sun â€“ Thurs by 8PM and Fri, Sat by 9pm. Please bear in mind that this is not a hotel but our home and we are opening it to you.  We will do our utmost to make your stay enjoyable and fun.  We ask that you take care to respect our home and its appearance.  Thank you.  Marilyn and Alan 1.ROOMS - The bedroom is yours for the duration of your stay.  Be sure to let us know if you need something.  Please keep it neat and tidy and take advantage of the closet and bureau for your belongings.  We do ask that you turn off lights, air conditioner, fan, etc. when you are not in the room. Thank you. 2.LIGHTS â€“ Please, too, remember to turn off lights on the stairway when returning.   3.KEYS - 2 house keys are provided - Replacement cost is $15 each 4.PARKING â€“ Parking is available on street at all times.   5.SHOES â€“ When the weather is inclement please remove shoes.   6.TOILETRIES - If you need them we can provide basic toiletr"
1005754;"Large furnished room near b'way";79384379533;Verified;Evelyn;Manhattan;"Hell's Kitchen";40.76489;-73.98493;"United States";True;Strict;"Private room";2005;"1,018 ";"204 ";2;430;2019-06-24;6.2319;3;1;180;"- Please clean up after yourself when using the kitchen. - When using the bathroom, please be careful to minimize the amount of water on the floor when showering and using the sink. - Please make sure to remove any strands of hair from the sink and floors with a tissue or paper towel. - Be respectful of the noise levels after 11pm.  - Please be quiet coming in late or leaving early. - No Smoking  - No Pets - No overnight guests - For safety reasons, please make sure to shut and lock the windows and front door when you leave. *** Note: cancellations are subject to fees that are non refundable ***"
1006307;"Cozy clean guest room - family apt";75527839483;Unconfirmed;Carl;Manhattan;"Upper West Side";40.80178;-73.96723;"United States";False;Strict;"Private room";2015;"291 ";"58 ";2;118;2017-07-21;1.2826;5;1;375;"NO SMOKING OR PETS ANYWHERE ON THE PROPERTY 1. Be respectful of the other tenants 2. If you use the grill, be sure to turn off the gas 3. Notify the owner of any discrepancies or things not functioning properly immediately 4. Please treat carpet stains promptly (or notify the owner) 5. Kindly turn off lights, air conditioners, and other electrical items when they aren't needed"
