id,NAME,"host id",host_identity_verified,"host name","neighbourhood group",neighbourhood,lat,long,country,"country code",instant_bookable,cancellation_policy,"room type","Construction year",price,"service fee","minimum nights","number of reviews","last review","reviews per month","review rate number","calculated host listings count","availability 365",house_rules,license
1001254,"Clean & quiet apt home by the park",80014485718,unconfirmed,Madaline,Brooklyn,Kensington,40.64749,-73.97237,"United States",US,FALSE,strict,"Private room",2020,"$966 ","$193 ",10,9,10/19/2021,0.21,4,6,286,"Clean up and treat the home the way you'd like your home to be treated.  No smoking.",
1002102,"Skylit Midtown Castle",52335172823,verified,Jenna,Manhattan,Midtown,40.75362,-73.98377,"United States",US,FALSE,moderate,"Entire home/apt",2007,"$142 ","$28 ",30,45,5/21/2022,0.38,4,2,228,"Pet friendly but please confirm with me if the pet you are planning on bringing with you is OK. I have a cute and quiet mixed chihuahua. I could accept more guests (for an extra fee) but this also needs to be confirmed beforehand. Also friends traveling together could sleep in separate beds for an extra fee (the second bed is either a sofa bed or inflatable bed). Smoking is only allowed on the porch.",
1002403,"THE VILLAGE OF HARLEM....NEW YORK !",78829239556,,Elise,Manhattan,Harlem,40.80902,-73.9419,"United States",US,TRUE,flexible,"Private room",2005,"$620 ","$124 ",3,0,,,5,1,352,"I encourage you to use my kitchen, cooking and laundry facilities. There is no additional charge to use the washer/dryer in the basement.  No smoking, inside or outside. Come home as late as you want.  If you come home stumbling drunk, it's OK the first time. If you do it again, and you wake up me or the neighbors downstairs, we will be annoyed.  (Just so you know . . . )",
1002755,,85098326012,unconfirmed,Garry,Brooklyn,"Clinton Hill",40.68514,-73.95976,"United States",US,TRUE,moderate,"Entire home/apt",2005,"$368 ","$74 ",30,270,7/5/2019,4.64,4,1,322,,
1003689,"Entire Apt: Spacious Studio/Loft by central park",92037596077,verified,Lyndon,Manhattan,"East Harlem",40.79851,-73.94399,"United States",US,FALSE,moderate,"Entire home/apt",2009,"$204 ","$41 ",10,9,11/19/2018,0.1,3,1,289,"Please no smoking in the house, porch or on the property (you can go to the nearby corner).  Reasonable quiet after 10:30 pm.  Please remove shoes in the house.",
1004098,"Large Cozy 1 BR Apartment In Midtown East",45498551794,verified,Michelle,Manhattan,"Murray Hill",40.74767,-73.975,"United States",US,TRUE,flexible,"Entire home/apt",2013,"$577 ","$115 ",3,74,6/22/2019,0.59,3,1,374,"No smoking, please, and no drugs.",
1004650,BlissArtsSpace!,61300605564,,Alberta,Brooklyn,Bedford-Stuyvesant,40.68688,-73.95596,"United States",US,FALSE,moderate,"Private room",2015,"$71 ","$14 ",45,49,10/5/2017,0.4,5,1,224,"Please no shoes in the house so bring slippers or extra socks to keep your feet warm- especially in winter! No smoking either inside or outside. Please be considerate of neighbors from 10pm-7am in terms of noise. Please take out any trash and leave in the large blue garbage bin at the end of the driveway when you leave.",
1005202,BlissArtsSpace!,90821839709,unconfirmed,Emma,Brooklyn,Bedford-Stuyvesant,40.68688,-73.95596,"United States",US,FALSE,moderate,"Private room",2009,"$1,060 ","$212 ",45,49,10/5/2017,0.4,5,1,219,"House Guidelines for our BnB We are delighted to welcome you.  Check in Sun â€“ Thurs by 8PM and Fri, Sat by 9pm. Please bear in mind that this is not a hotel but our home and we are opening it to you.  We will do our utmost to make your stay enjoyable and fun.  We ask that you take care to respect our home and its appearance.  Thank you.  Marilyn and Alan 1.ROOMS - The bedroom is yours for the duration of your stay.  Be sure to let us know if you need something.  Please keep it neat and tidy and take advantage of the closet and bureau for your belongings.  We do ask that you turn off lights, air conditioner, fan, etc. when you are not in the room. Thank you. 2.LIGHTS â€“ Please, too, remember to turn off lights on the stairway when returning.   3.KEYS - 2 house keys are provided - Replacement cost is $15 each 4.PARKING â€“ Parking is available on street at all times.   5.SHOES â€“ When the weather is inclement please remove shoes.   6.TOILETRIES - If you need them we can provide basic toiletr",
1005754,"Large Furnished Room Near B'way",79384379533,verified,Evelyn,Manhattan,"Hell's Kitchen",40.76489,-73.98493,"United States",US,TRUE,strict,"Private room",2005,"$1,018 ","$204 ",2,430,6/24/2019,3.47,3,1,180,"- Please clean up after yourself when using the kitchen. - When using the bathroom, please be careful to minimize the amount of water on the floor when showering and using the sink. - Please make sure to remove any strands of hair from the sink and floors with a tissue or paper towel. - Be respectful of the noise levels after 11pm.  - Please be quiet coming in late or leaving early. - No Smoking  - No Pets - No overnight guests - For safety reasons, please make sure to shut and lock the windows and front door when you leave. *** Note: cancellations are subject to fees that are non refundable ***",
1006307,"Cozy Clean Guest Room - Family Apt",75527839483,unconfirmed,Carl,Manhattan,"Upper West Side",40.80178,-73.96723,"United States",US,FALSE,strict,"Private room",2015,"$291 ","$58 ",2,118,7/21/2017,0.99,5,1,375,"NO SMOKING OR PETS ANYWHERE ON THE PROPERTY 1. Be respectful of the other tenants 2. If you use the grill, be sure to turn off the gas 3. Notify the owner of any discrepancies or things not functioning properly immediately 4. Please treat carpet stains promptly (or notify the owner) 5. Kindly turn off lights, air conditioners, and other electrical items when they aren't needed",
